Date,Angel,Baker Street,Euston,Great Portland Street,Marylebone,Old Street,Paddington,Warren Street,Aldgate,Aldgate East,Bank,Bethnal Green,Liverpool Street,Monument,Moorgate,Tower Gateway,Tower Hill,Whitechapel,Barbican,Chancery Lane,Euston Square,Farringdon,Goodge Street,Holborn,Oxford Circus,Russell Square,St Pauls,Tottenham Court Road,Bayswater,Bond Street,Gloucester Road,Knightsbridge,Lancaster Gate,Marble Arch,Notting Hill Gate,Queensway,Regents Park,South Kensington,Covent Garden,Green Park,High Street Kensington,Hyde Park Corner,Leicester Square,Piccadilly Circus,Sloane Square,St James's Park,Victoria,Westminster,Blackfriars,Cannon Street,Charing Cross,Embankment,Mansion House,Pimlico,Southwark,Temple,Vauxhall,Waterloo,Canary Wharf,London Bridge,Stratford
2023-01-01,6994,13010.0,11100.0,1729.0,3018.0,8197.0,21845.0,5200.0,6146.0,3547.0,6169.0,7274.0,13756.0,5549.0,3902.0,1438.0,9364.0,,2009,1111.0,3115.0,9971.0,11574.0,35270.0,5341.0,38594.0,,,3886,28025.0,7770.0,15728.0,3182.0,7832.0,6978.0,869.0,19868.0,,13599.0,31729.0,6007.0,163.0,40711.0,6412.0,30680.0,29264.0,,,6516.0,730.0,16301.0,15965.0,2438.0,2336.0,5735.0,2346.0,11134.0,34314.0,18316,49379.0,33796.0
2023-01-02,7853,16268.0,28921.0,2288.0,4610.0,8950.0,30358.0,6268.0,4115.0,20404.0,,,,,,,,,2625,54627.0,7954.0,49099.0,,,,,,,4410,42210.0,26487.0,3639.0,18848.0,6870.0,,,,,16104.0,23853.0,16519.0,45024.0,5913.0,,,,,,8922.0,42629.0,,,,,,,,,22565,60177.0,54649.0
2023-01-03,12132,20211.0,11965.0,4991.0,3881.0,15792.0,23176.0,14880.0,10515.0,24373.0,11205.0,40594.0,10723.0,17392.0,1952.0,16054.0,15453.0,,5024,8238.0,7168.0,19594.0,4.0,20040.0,9761.0,10251.0,,,10809,9862.0,11701.0,1741.0,29352.0,,,,,,8778.0,33792.0,32431.0,12170.0,7599.0,45997.0,20014.0,,,,2961.0,11165.0,13646.0,4702.0,7181.0,8904.0,4146.0,14191.0,,,32205,57338.0,57622.0
2023-01-04,13155,21368.0,12728.0,5352.0,3956.0,17000.0,22343.0,15021.0,7083.0,8900.0,26953.0,12705.0,42810.0,11253.0,18686.0,1998.0,14591.0,17348.0,5666,9617.0,7538.0,20954.0,2544.0,20997.0,53937.0,8888.0,10793.0,50223.0,3235,37589.0,11406.0,18134.0,3701.0,10145.0,13219.0,7807.0,1850.0,25740.0,14296.0,31427.0,8048.0,4367.0,35762.0,32657.0,13910.0,9078.0,50937.0,22879.0,7723.0,3243.0,12410.0,15976.0,4665.0,8088.0,9578.0,4828.0,15322.0,37983.0,34048,65133.0,57609.0
2023-01-05,13813,21699.0,9094.0,5638.0,2924.0,17652.0,19106.0,15263.0,6442.0,11305.0,29222.0,12373.0,49174.0,11981.0,21498.0,2270.0,15891.0,19454.0,5705,8262.0,6963.0,28150.0,4813.0,22853.0,53837.0,9370.0,11649.0,60569.0,4054,42531.0,12235.0,18816.0,3560.0,10272.0,14308.0,7768.0,2017.0,26860.0,14406.0,30780.0,9766.0,4539.0,37138.0,32972.0,15250.0,9480.0,45646.0,22504.0,9121.0,3623.0,13460.0,17429.0,5570.0,8607.0,10099.0,5662.0,17109.0,41242.0,37588,44109.0,59341.0
2023-01-06,14970,21920.0,13586.0,5133.0,2778.0,17909.0,23453.0,14316.0,5825.0,11474.0,23674.0,14776.0,44466.0,9863.0,15494.0,2205.0,16856.0,17864.0,5145,8813.0,7199.0,19421.0,4588.0,21780.0,55410.0,9719.0,9999.0,56153.0,4195,39360.0,12173.0,19611.0,3139.0,11053.0,15101.0,8851.0,2028.0,27419.0,14961.0,31214.0,9739.0,5030.0,42839.0,35635.0,14747.0,8625.0,51716.0,21555.0,6570.0,2447.0,13536.0,16554.0,4046.0,8140.0,9198.0,4526.0,16115.0,38355.0,33689,63171.0,62821.0
2023-01-07,15904,18106.0,12532.0,2761.0,3373.0,15842.0,17322.0,9153.0,11400.0,16124.0,15128.0,38723.0,9.0,7687.0,1652.0,12.0,11883.0,,3153,4807.0,4562.0,10398.0,3734.0,20221.0,56881.0,8291.0,8868.0,63235.0,1,38359.0,8849.0,21461.0,4258.0,10529.0,16183.0,10695.0,1229.0,25774.0,19876.0,26228.0,4424.0,3943.0,53641.0,40801.0,5.0,42435.0,17372.0,,1.0,15806.0,10227.0,7165.0,8997.0,14598.0,42595.0,,,,28678,63222.0,63803.0
2023-01-08,10696,12597.0,20963.0,1881.0,3166.0,10500.0,17735.0,6417.0,8623.0,10997.0,10657.0,31040.0,2.0,5114.0,1224.0,10583.0,,,2055,2585.0,4294.0,12134.0,2513.0,13652.0,37474.0,6274.0,6697.0,41457.0,1,27054.0,6474.0,15153.0,3391.0,8112.0,9545.0,7770.0,947.0,20493.0,14089.0,18548.0,3494.0,3220.0,32639.0,25519.0,1.0,42148.0,12466.0,,13775.0,6008.0,5585.0,6838.0,15799.0,35914.0,,,,,20453,45335.0,47319.0
2023-01-09,13793,24655.0,31691.0,6993.0,9273.0,20439.0,30981.0,19716.0,8777.0,11577.0,37555.0,12993.0,66351.0,11403.0,29300.0,2191.0,16373.0,22937.0,6895,12445.0,14303.0,44611.0,6893.0,23704.0,57431.0,10258.0,11444.0,58111.0,3726,44992.0,13004.0,15716.0,3396.0,10262.0,13439.0,6997.0,2514.0,27125.0,10234.0,32340.0,10378.0,4101.0,27797.0,26737.0,16179.0,11684.0,75255.0,21345.0,12188.0,5913.0,14199.0,16073.0,5445.0,9758.0,11423.0,6164.0,27470.0,66122.0,43077,65167.0,65419.0
2023-01-10,18552,29030.0,38506.0,8905.0,12613.0,26099.0,36693.0,23667.0,10978.0,13366.0,52231.0,14349.0,85235.0,15548.0,40260.0,2655.0,18262.0,24202.0,8605,16082.0,17368.0,58829.0,8442.0,30330.0,65575.0,12166.0,14868.0,69253.0,4317,50551.0,14212.0,16938.0,3490.0,11466.0,14770.0,7459.0,3096.0,32227.0,12399.0,37764.0,12084.0,4531.0,32597.0,32553.0,18267.0,15462.0,87608.0,23767.0,17013.0,7944.0,18452.0,21575.0,7752.0,11818.0,15101.0,6671.0,32592.0,86226.0,49189,78604.0,66934.0
